doc_id,text,label
0,"i was wondering if anyone out there could enlighten me on this car i saw the other day. it was a 2-door sports car, looked to be from the late 60s/ early 70s. it was called a bricklin. the doors were really small. in addition, the front bumper was separate from the rest of the body. this is all i know. if anyone can tellme a model name, engine specs, years of production, where this car is made, history, or whatever info you have on this funky looking car, please e-mail.",7
1,"a fair number of brave souls who upgraded their si clock oscillator have shared their experiences for this poll. please send a brief message detailing your experiences with the procedure. top speed attained, cpu rated speed, add on cards and adapters, heat sinks, hour of usage per day, floppy disk functionality with 800 and 1.4 m floppies are especially requested. i will be summarizing in the next two days, so please add to the network knowledge base if you have done the clock upgrade and haven't answered this poll. thanks.",4
2,"well folks, my mac plus finally gave up the ghost this weekend after starting life as a 512k way back in 1985. sooo, i'm in the market for a new machine a bit sooner than i intended to be... i'm looking into picking up a powerbook 160 or maybe 180 and have a bunch of questions that (hopefully) somebody can answer: * does anybody know any dirt on when the next round of powerbook introductions are expected? i'd heard the 185c was supposed to make an appearence ""this summer"" but haven't heard anymore on it - and since i don't have access to macleak, i was wondering if anybody out there had more info... * has anybody heard rumors about price drops to the powerbook line like the ones the duo's just went through recently? * what's the impression of the display on the 180? i could probably swing a 180 if i got the 80mb disk rather than the 120, but i don't really have a feel for how much ""better"" the display is (yea, it looks great in the store, but is that all ""wow"" or is it really that good?). could i solicit some opinions of people who use the 160 and 180 day-to-day on if its worth taking the disk size and money hit to get the active display? (i realize this is a real subjective question, but i've only played around with the machines in a computer store breifly and figured the opinions of somebody who actually uses the machine daily might prove helpful). * how well does hellcats perform? ;) thanks a bunch in advance for any info - if you could email, i'll post a summary (news reading time is at a premium with finals just around the corner... :( ) -- tom willis \ twillis@ecn.purdue.edu \ purdue electrical engineering",4
3,do you have weitek's address/phone number? i'd like to get some information about this chip.,1
4,"from article <c5owcb.n3p@world.std.com>, by tombaker@world.std.com (tom a baker): my understanding is that the 'expected errors' are basically known bugs in the warning system software - things are checked that don't have the right values in yet because they aren't set till after launch, and suchlike. rather than fix the code and possibly introduce new bugs, they just tell the crew 'ok, if you see a warning no. 213 before liftoff, ignore it'.",14
5,"of course. the term must be rigidly defined in any bill. i doubt she uses this term for that. you are using a quote allegedly from her, can you back it up? i read the article as presenting first an argument about weapons of mass destruction (as commonly understood) and then switching to other topics. the first point evidently was to show that not all weapons should be allowed, and then the later analysis was, given this understanding, to consider another class.",16
6,"there were a few people who responded to my request for info on treatment for astrocytomas through email, whom i couldn't thank directly because of mail-bouncing probs (sean, debra, and sharon). so i thought i'd publicly thank everyone. thanks! (i'm sure glad i accidentally hit ""rn"" instead of ""rm"" when i was trying to delete a file last september. ""hmmm... 'news?' what's this?""....)",13
7,"all this shows is that you don't know much about scsi. scsi-1 {with a scsi-1 controler chip} range is indeed 0-5mb/s and that is all you have right about scsi scsi-1 {with a scsi-2 controller chip}: 4-6mb/s with 10mb/s burst {8-bit} note the increase in speed, the mac quadra uses this version of scsi-1 so it does exist. some pc use this set up too. scsi-2 {8-bit/scsi-1 mode}: 4-6mb/s with 10mb/s burst scsi-2 {16-bit/wide or fast mode}: 8-12mb/s with 20mb/s burst scsi-2 {32-bit/wide and fast}: 15-20mb/s with 40mb/s burst by your own data the ""although scsi is twice as fast as esdi"" is correct with a scsi-2 controller chip scsi-1 can reach 10mb/s which is indeed ""20% faster than ide"" {120% of 8.3 is 9.96}. all these scsi facts have been posted to this newsgroup in my mac & ibm info sheet {available by ftp on sumex-aim.stanford.edu (36.44.0.6) in the info-mac/report as mac-ibm-compare[version #].txt (it should be 173 but 161 may still be there)} part of this problem is both mac and ibm pc are inconsiant about what scsi is which. though it is well documented that the quadra has a scsi-2 chip an apple salesperson said ""it uses a fast scsi-1 chip"" {not at a 6mb/s, 10mb/s burst it does not. scsi-1 is 5mb/s maximum synchronous and quadra uses ansynchronous scsi which is slower} it seems that mac and ibm see scsi-1 interface and think 'scsi-1' when it maybe a scsi-1 interface driven in the machine by a scsi-2 controller chip in 8-bit mode {which is much faster then true scsi-1 can go}.",3
8,"i have win 3.0 and downloaded several icons and bmp's but i can't figure out how to change the ""wallpaper"" or use the icons. any help would be appreciated. thanx, -brando",2
9,"i've had the board for over a year, and it does work with diskdoubler, but not with autodoubler, due to a licensing problem with stac technologies, the owners of the board's compression technology. (i'm writing this from memory; i've lost the reference. please correct me if i'm wrong.) using the board, i've had problems with file icons being lost, but it's hard to say whether it's the board's fault or something else; however, if i decompress the troubled file and recompress it without the board, the icon usually reappears. because of the above mentioned licensing problem, the freeware expansion utility dd expand will not decompress a board-compressed file unless you have the board installed. since stac has its own product now, it seems unlikely that the holes in autodoubler/diskdoubler related to the board will be fixed. which is sad, and makes me very reluctant to buy stac's product since they're being so stinky. (but hey, that's competition.) --",4
10,"i have a line on a ducati 900gts 1978 model with 17k on the clock. runs very well, paint is the bronze/brown/orange faded out, leaks a bit of oil and pops out of 1st with hard accel. the shop will fix trans and oil leak. they sold the bike to the 1 and only owner. they want $3495, and i am thinking more like $3k. any opinions out there? please email me. thanks. it would be a nice stable mate to the beemer. then i'll get a jap bike and call myself axis motors! -- ----------------------------------------------------------------------- ""tuba"" (irwin) ""i honk therefore i am"" computrac-richardson,tx irwin@cmptrc.lonestar.org dod #0826 (r75/6)",8
