query,doc,label
sci.med,"A friend was recently admitted to North Carolina Memorial Hospital because of suspected meningitis.  Serious business.  They wanted to do a lumbar puncture, for which a CT scan is a prerequisite.  I arrived in her hospital room about an hour after she had returned from the CT.   She was in tears.  Evidently the technicians in the CT lab had been very unpleasant to her.  To begin with, they put her on the apparatus that moves you into the machine itself, and just pushed a button to slide her straight into the machine, without any explanation.  Imagine this.  You worried you may have a deadly disease, and next thing you know you're being put into this big scary machine, without a word of explanation about what is going to happen to you.  I believe this is inexcusable.   She waved her hand as if to say what are you doing to me, and they responded with annoyance and anger.  Next they inserted, or tried to insert, an IV catheter.  Apparently she has a lot of trouble with these and complained of the pain.  The technician just stopped and fixed her with a glare without any words of explanation.  Is there anything I can do about these pigs ?  I realize that these technicians do this sort of job day in and day out.  And that some patients can be very irritating and uncooperative. But this is simply no excuse.  Their purpose for existing is to help sick people, and there is no excuse for this sort of behavior. Fortunately my friend is fine.  But I imagine a large proportion of the people who get CT scans are not fine at all.  They have cancer and that sort of thing.  They don't need this kind of shit.  Also, since I named the hospital involved, I should also point out that neither she nor I have any complaints about the competence or compassion of any of the other personnel at NCMH.",1
sci.med," I don't know about C-5's,  but on C-130's  which are regularly used for Medium  haul  Personnel transport by the Army,  only have a funnel and a garden hose  in the aft.  The female personnel hate long trips in the box cars.",0
soc.religion.christian,"Quotes from Our Daily Bread  Our Daily Bread is a devotional help for spiritual growth. One can spend some ten to fifteen minutes at most reading the daily portion of scriptures and a related short article that brings the scriptures alive in applying in today's society. It ends with a saying at the bottom. This article is a collection of these sayings.  Our Daily Bread is one of the many ministries/services provided by Resources for Biblical Communication. It is FREE. To receive the literature, just write and ask for it. The contact addresses are listed below. Write to Radio Bible Class.  Copyright 1989 Radio Bible Class, Grand Rapids, Michigan 49555-0001  Canada: Box 1622, Windsor, Ontario N9A 6Z7 Australia: Box 365, Ryde, 2112 NSW Europe: Box 1, Carnforth, Lancs., England LA5 9ES Africa: Box 1652, Manzini, Swaziland Africa: PMB 2010, Jos, Nigeria Philippines: Box 288, Greenhills, 1502 Metro Manila  Sayings with related scriptures in December/January/February 89-90 issue of Our Daily Bread  When God saves us, all our sins are forgiven, forgotten, forever! Romans 5:1-11  Life with Christ is difficult; without Him it's hopeless. Ecclesiastes 4:1-6  It's the sin we cover up that eventually brings us down. Psalm 19:7-14  You're not ready to live until you're ready to die. Acts 21:1-14  Trusting in God's power prevents panic. Isaiah 40:6-17  The Bible is a record of man's compete ruin in sin and God's compte remedy in Christ. - Barnhouse 2 Timothy 3:10-17  Jesus can change the foulest sinners into the finest saints. Ephesians 2:1-10  They witness best who witness with their lives. Acts 4:23-33  God came to dwell with man that man might dwell with God. Philippians 2:5-11  A hurting person needs a helping hand, not an accusing finger. Psalm 109:1,2, 14-31  What you decide about Jesus determines your destiny. John 20:24-29  We must go to sinners if we expect sinners to come to the Savior. Romans 1:8-15  Knowing that God sees us brings both conviction and cofidence. Job 34:21-28  God's chastening is not cruel but corrective. Hebrews 12:4-17  When you think of all that's good, give thanks to God. Psalm 44:1-8  Man's greatest goal: give glory to God. 1 Peter 5:5-7  God loves every one of us as if there were but one of us to love. Romans 8:31-39  Only the bread of life can satisfy man's spiritual hunger. John 6:28-41  Conscience can be our compass if the word of God is our chart. 1 Timothy 4:1-5  Salvation is free, but you must receive it. Isaiah 55:1-5  If we're not as spiritual as we could be, we're not as spiritual as we should be. 2 Timonty 1:1-7  Circumstances do not make a man, they reveal what he's made of. Matthew 1:18-25  Make room for Jesus in your heart, and he will make room for you in heaven. Matthew 2:1-18  Heaven's choir came down to sing when heaven's king came down to save. Luke 2:1-20  God's highest gift awakens man's deepest gratitude. Luke 2:21-38  Serving the Lord is an investment that pays eternal dividends. 1 Peter 4:12-19  Time misspent is not lived but lost. Psalm 39:4-13  The measure of our love is the measure of our sacrifice. 1 Peter 4:7-11  God requires faithfulness; God rewards with fruitfulness. Luke 19:11-27  How you spend time determines how you spend eternity. Psalm 90:1-12  If you aim for nothing, you're sure to hit it. Daniel 1:1-8  The Christian's future is as bright as the promises of God. Psalm 23  Christ as Savior brings us peace with God; Christ as Lord brings the peace of God. Colossians 1:13-20  They who only sample the word of God never acquire much of a tast for it. Psalm 119:97-104  Unless one drinks now of the ""water of life"", he will thirst forever! Revelation 22:12-17  A hyprocrite is a person who is not himself on Sunday. Daniel 6:1-10  Be life long or short, its completeness depends on what it is lived for. Ecclesiates 9:1-12  God loves you and me - let's love each other. 2 Corinthians 13  It's always too soon to quit. Genesis 37:12-28  The character we build in this world we carry into the next. Matthew 7:24-29  God sends trials not to impair us but to improves us. 2 Corinthians 4:8-18  Marriage is either a holy wedlock or an unholy deadlock. 2 Corinthians 5:11-18  We are adopted through God's grace to be adapted to God's use. Galatians 6:1-10  Our children are watching: what we are speak louder than what we say. Proverbs 31:10-31  Union with Christ is the basis for unity among believers. Psalm 133  Keep out of your life all that would crowd Christ out of your heart. Romans 6:1-14  Don't try to bear tomorrow's burdens with today's grace. Matthew 6:25-34  Pray as if everything depends on God; work as if everything depends on you. 2 Kings 20:1-7  Some convictions are nothing more than prejudices. Galatians 3:26-29  Unless you velieve, you will not understand. - Augustine Hebrews 11:1-6  Christ is the only way to heaven; all other paths are detours to doom. 2 Corinthians 4:1-7  Many Christians are doing nothing, but no Christians have nothing to do! John 4:31-38  We bury the seed; God brings the harvest. Isaiah 55:8-13  The texture of eternity is woven on the looms of time. Ecclesiastes 7:1-6  It's not just what we know about God but how we use what we know. 1 Corinthians 8  The best way to avoid lying is to do nothing that needs to be concealed. Acts 5:1-11  God transforms trials into blessing by surrounding them with His love and grace. 2 Chronicles 20:1-4, 20-30  Confessing your sins is no substitute for forsaking them. Psalm 51:1-10  If you shoot arrows of envy at others, you would yourself. Philippians 1:12-18  He who has no vision of eternity doesn't know the value of time. Ephesians 5:8-17  He who abandons himself to God will never be abandoned by God. Psalm 123  No danger can come so near the Christian that God is not nearer. Psalm 121  Many a man lays down his life trying to lay up a fortune. Matthew 6:19-24  God's grace is infinite love expressing itself through infinite goodness. Philippians 1:1-11  One way to do great things for Christ is to do little things for others. Romans 16:1-16  You rob yourself of being you when you try to do what others are meant to do. Romans 12:1-8  Don't pretend to be what you don't intend to be. Matthew 23:1-15  Meeting God in our trials is better than getting out of them. Psalm 42  If sinners are to escape God's judgement, God's people must point the way. Matthew 24:15-27  It's not a sin to get angry when you get angry at sin. John 2:13-22  We prepare for the darkness by learning to pray in the light. 1 Samuel 2:1-10  Christianity is not a way of doing certain things but a certain way of doing all things. Ephesians 5:1-7  Better to know the truth and beware than to believe a lie and not care. Jeremiah 28  A true servant does not live to himself, for himself, or by himself. Genesis 13  Those who do the most earthly good are those who are heavely mined. Philippians 1:19-26  A good marriage requires a determination to be married for good. Genesis 2:18-24  If you're looking for something to give your life to, look to the one who gave His life for you. 1 Corinthians 3:1-11  When we have nothing left but God, we discover that God is enough. Psalm 46  God is with us inthe darkness as surely as He is with us in the light. 1 Peter 1:1-9  Some people spend most of their life at the complaint counter. 1 Thessalonians 5:12-22  Of all creation, only man can say ""yes"" or ""no"" to God. Genesis 9:8-17  The most rewarding end in life is to know the life that never ends. Ecclesiates 8:10-15  One of the marks of a well-fed soul is a well read Bible. Joshua1:1-9  Because God gives us all we need, we should give to those in need. Proverbs 14:20-31  It's never too early to receive Christ, but at any moment it could be too late. Luke 16:19-31  God's grace keeps pace with whatever we face. 2 Corinthians 12:7-10  Coming together is a beginning; keeping together is progress; working together is success. 1 Corinthians 12:12-27  When we give God our burdens, He gives us a song. Psalm 57  Do the thing you fear, and the death of fear is certain. - Emerson 1 Corinthians 2:1-8",1
soc.religion.christian," Isn't name calling fun!  What do you think happened at Watergate? What do you think they broke into the building for? It wasn't to just look around. Do I have to draw you  a picture?  Whatever...  ------------------------------------------------------------------------------ ""Who said anything about panicking?"" snapped Authur.           Garrett Johnson ""This is still just culture shock. You wait till I've       Garrett@Ingres.com settled into the situation and found my bearings. THEN I'll start panicking!"" - Douglas Adams  ",0
sci.space,"    I'll vote for anything where they don't feel constrained to use stupid and ugly PC phrases to replace words like 'manned'.  If they think they need to do that, they're more than likely engaging in 'politics and public relations as usual' rather than seriously wanting to actually get into space.  So that eliminates Option ""A"" from the running.  What do they call a manned station in Option ""C""?  [I'm actually about half serious about that.  People should be more concerned with grammatical correctness and actually getting a working station than they are with 'Political Correctness' of terminology.]   --  ""Insisting on perfect safety is for people who don't have the balls to live  in the real world.""   -- Mary Shafer, NASA Ames Dryden",1
sci.space,seningen@maserati.ross.com (Mike Seningen)    The funny thing about the digital dash (87 T-bird) with the 85mph speedo  limit was that if you pressed the button to convert to kilometers it would  read all the way up to 187kph.  At this point the stock anemic 302 would get  short of breath.  This of course was equivalent to about 116mph (hehe).I bet  I really coulda confused this thing if I'd toyed with the engine and rolled the stupid thing (the digits were limited to 199).     I've gotta agree with ya on the analog clock w/digital dash though.  My girlfriend had a '85 TurboCoupe with a digital clock and analog gauges/radio. Go figure...   usenet@constellation.ecn.uoknor.edu (Usenet Administrator)    I had a great feature on my T-bird....  I could pull the key out and  leave the ignition on.  This scared the hell out of me the first time it happened but I kinda grew to like it.  Musta been a bad key copy or  something.  Mark Novakovic,0
sci.med," There's a pretty good article in the the March 6, 1993 New Scientist titled ""Pouring cold water on Lorenzo's oil"".  The article states that research has shown that the oil has no discernable effect on the progression of the disease in patients in which demyelination has begun.  In patients with AMN (a less acute form of the same disease) there is some improvement seen in the ability of nerve fibres to conduct impulses.  In ALD patients who have not yet begun demyelination, the jury is still out.",1
sci.med,"      There is no such thing as ""completely secure,"" especially when dealing with High Technology. It's all a question of cost: what cost are you willing to bear to protect your information vs. what rewards the ""bad guys"" are going to get if they break it. The rewards of breaking such a single ID system would be high indeed.",0
comp.os.ms-windows.misc,"From article <1rc07h$ern@olivea.ATC.Olivetti.Com>, by manu@oas.olivetti.com (Manu Das):  The window is probobly on top but the lower windows are drawing over it. Try using WS_CLIPSIBLING to keep the lower siblings from drawing on the top sibling's space. -- ",1
comp.os.ms-windows.misc,"Hi folks  Say, I'm new to R5 and have one quick question.  In using xon ( xon  <machine_name> )  , I notice that it always comes up with a very small window .  I'm pretty sure its the default font.  My xterms all work normally. Is xon supposed to read your .Xresources for a font size ?  xrdb -q appears to show the right stuff.  I can use xon with arguments such as  xterm -fn 10x20    etc and everything is correct.  Of course you could always do a  simple script to do this , but I have a feeling I'm missing something simple here.  Comments / suggestions appreciated.  Thanks in advance",0
